epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,38708.6,0.45673,2.59345,1.1316,0.93909,0.90396,0.94875,0.65554,0.5552,3.49147,1.25022,5.76296e-06,5.76296e-06,5.76296e-06
119,39036.5,0.45938,2.58398,1.13548,0.93818,0.9053,0.94928,0.6559,0.55536,3.49216,1.25045,5.33919e-06,5.33919e-06,5.33919e-06
120,39362.9,0.45829,2.58104,1.13383,0.93943,0.90403,0.94923,0.6558,0.55546,3.49331,1.25047,5.08481e-06,5.08481e-06,5.08481e-06
1,357.282,0.86208,11.2109,1.71306,0.57587,0.4651,0.55204,0.2867,0.81328,10.3226,1.63768,0.0668534,0.000166566,0.000166566
2,701.242,0.81058,8.72293,1.646,0.57502,0.66692,0.65288,0.36174,0.73682,9.21868,1.57769,0.0336867,0.000333151,0.000333151
3,1039.67,0.76893,7.74232,1.57907,0.67418,0.64715,0.69306,0.38766,0.72751,7.89712,1.55685,0.000519625,0.000499411,0.000499411
4,1378.5,0.73736,7.00841,1.54468,0.7272,0.76592,0.80365,0.45376,0.71147,6.72125,1.52101,0.000498902,0.000498902,0.000498902
5,1722.64,0.70786,6.40679,1.50252,0.73232,0.74158,0.7926,0.44533,0.69945,6.53305,1.51973,0.000498048,0.000498048,0.000498048
6,2030.11,0.6941,6.10755,1.48432,0.78144,0.74141,0.80989,0.46218,0.67534,6.48411,1.47241,0.000496953,0.000496953,0.000496953
7,2341.93,0.68028,5.82399,1.47131,0.78505,0.70638,0.78398,0.45876,0.67023,6.5438,1.46737,0.000495616,0.000495616,0.000495616
8,2646.85,0.66952,5.602,1.44858,0.80356,0.79906,0.84027,0.49385,0.66162,5.72506,1.4587,0.000494039,0.000494039,0.000494039
9,2953.64,0.66344,5.44901,1.44106,0.78367,0.80566,0.85448,0.50547,0.65841,5.65689,1.47545,0.000492224,0.000492224,0.000492224
10,3257.86,0.65803,5.36426,1.42377,0.83147,0.8241,0.86197,0.52112,0.65148,5.3988,1.44233,0.000490173,0.000490173,0.000490173
11,3565.9,0.64766,5.18307,1.42103,0.82664,0.78808,0.8557,0.51874,0.64814,5.45763,1.43874,0.000487886,0.000487886,0.000487886
12,3876.71,0.6424,5.08844,1.42689,0.85086,0.78834,0.86812,0.53132,0.64616,5.37571,1.44075,0.000485368,0.000485368,0.000485368
13,4184.43,0.636,4.9581,1.40167,0.80353,0.82032,0.85199,0.52406,0.64369,5.30484,1.43395,0.00048262,0.00048262,0.00048262
14,4486.4,0.6316,4.86546,1.38898,0.81659,0.82632,0.88355,0.54003,0.63415,5.00922,1.41923,0.000479644,0.000479644,0.000479644
15,4802.65,0.62704,4.82159,1.39031,0.84539,0.83594,0.88778,0.56026,0.62736,4.88477,1.39984,0.000476445,0.000476445,0.000476445
16,5136.28,0.62369,4.73101,1.39035,0.8804,0.83432,0.90087,0.5568,0.61546,4.72266,1.39937,0.000473024,0.000473024,0.000473024
17,5475.81,0.61639,4.65283,1.38969,0.87484,0.84642,0.90113,0.56332,0.6252,4.83743,1.41412,0.000469386,0.000469386,0.000469386
18,5804.98,0.61403,4.60141,1.37504,0.90352,0.83518,0.90765,0.56745,0.61688,4.86839,1.37447,0.000465534,0.000465534,0.000465534
19,6117.71,0.60945,4.49609,1.36594,0.88289,0.83993,0.90875,0.57985,0.60299,4.5526,1.36676,0.000461471,0.000461471,0.000461471
20,6455.88,0.61389,4.5147,1.37203,0.88822,0.84367,0.90789,0.56487,0.61202,4.55974,1.38925,0.000457202,0.000457202,0.000457202
21,6771.41,0.60659,4.42215,1.36501,0.89067,0.87116,0.91427,0.57933,0.60137,4.4915,1.37035,0.000452732,0.000452732,0.000452732
22,7074.01,0.60549,4.3733,1.35967,0.89475,0.85524,0.91828,0.58706,0.59817,4.31693,1.38235,0.000448063,0.000448063,0.000448063
23,7386.87,0.59681,4.31906,1.36217,0.88186,0.87331,0.91577,0.58774,0.60046,4.37112,1.37267,0.000443202,0.000443202,0.000443202
24,7692.11,0.59479,4.26436,1.34515,0.89089,0.86632,0.91692,0.58567,0.6011,4.33273,1.35998,0.000438152,0.000438152,0.000438152
25,8002.74,0.58882,4.1615,1.34721,0.90083,0.87556,0.92409,0.5964,0.58769,4.16957,1.31973,0.00043292,0.00043292,0.00043292
26,8311.25,0.58843,4.13688,1.33984,0.88475,0.8848,0.92388,0.59371,0.59255,4.14669,1.36603,0.000427509,0.000427509,0.000427509
27,8621.43,0.58732,4.13415,1.33343,0.9048,0.88021,0.92863,0.59852,0.58621,4.24568,1.32528,0.000421925,0.000421925,0.000421925
28,8928.31,0.58444,4.11661,1.33028,0.90788,0.86959,0.929,0.60256,0.58576,4.05595,1.34711,0.000416175,0.000416175,0.000416175
29,9237.99,0.58432,4.05293,1.33499,0.90184,0.87694,0.92973,0.5989,0.59873,4.02639,1.36088,0.000410262,0.000410262,0.000410262
30,9543.6,0.58161,3.98972,1.32746,0.90447,0.88853,0.9361,0.60324,0.58839,4.07762,1.35898,0.000404194,0.000404194,0.000404194
31,9848.49,0.57542,3.94337,1.31556,0.89053,0.88844,0.9288,0.60153,0.58438,3.99092,1.34121,0.000397977,0.000397977,0.000397977
32,10160.9,0.5751,3.91586,1.31111,0.88776,0.89923,0.93683,0.61472,0.58067,4.05804,1.32082,0.000391616,0.000391616,0.000391616
33,10469.5,0.57167,3.85496,1.31008,0.90234,0.88006,0.93492,0.61362,0.57571,3.91414,1.33299,0.000385117,0.000385117,0.000385117
34,10778.6,0.57177,3.83371,1.31353,0.90413,0.89158,0.9403,0.61533,0.57613,3.87858,1.3267,0.000378488,0.000378488,0.000378488
35,11085.4,0.5698,3.79285,1.31,0.90508,0.89246,0.93865,0.6155,0.57434,3.82057,1.32742,0.000371734,0.000371734,0.000371734
36,11391.7,0.56899,3.78991,1.30541,0.89704,0.90651,0.94263,0.62139,0.575,3.75377,1.32734,0.000364863,0.000364863,0.000364863
37,11700.6,0.56423,3.73323,1.30942,0.90318,0.89791,0.93745,0.61831,0.57355,3.82955,1.33966,0.00035788,0.00035788,0.00035788
38,12008.7,0.56374,3.73477,1.30673,0.91543,0.89079,0.94039,0.6236,0.56732,3.94188,1.32583,0.000350794,0.000350794,0.000350794
39,12315.4,0.56514,3.69555,1.30433,0.90874,0.9039,0.94352,0.62475,0.56849,3.78352,1.33021,0.000343611,0.000343611,0.000343611
40,12623.8,0.5551,3.607,1.29273,0.90398,0.89687,0.94565,0.62485,0.56602,3.68833,1.32682,0.000336338,0.000336338,0.000336338
41,12926.7,0.55867,3.61085,1.3014,0.91093,0.90965,0.94314,0.62327,0.56369,3.65382,1.3289,0.000328982,0.000328982,0.000328982
42,13234.9,0.54683,3.52144,1.28174,0.91668,0.89816,0.9439,0.62773,0.56347,3.65319,1.31792,0.00032155,0.00032155,0.00032155
43,13542.1,0.55264,3.58616,1.29291,0.90967,0.90523,0.94552,0.62755,0.56429,3.77236,1.33071,0.000314051,0.000314051,0.000314051
44,13847.9,0.54698,3.53175,1.29247,0.92082,0.90406,0.94532,0.63004,0.56339,3.63493,1.33229,0.00030649,0.00030649,0.00030649
45,14155.4,0.54393,3.44778,1.28119,0.91812,0.90523,0.94832,0.63075,0.56544,3.6261,1.32655,0.000298877,0.000298877,0.000298877
46,14487.3,0.54288,3.41835,1.28022,0.90817,0.90722,0.94494,0.62884,0.5625,3.68511,1.32848,0.000291218,0.000291218,0.000291218
47,14825.5,0.54137,3.4039,1.27905,0.91689,0.90351,0.94596,0.63277,0.56036,3.60551,1.32169,0.00028352,0.00028352,0.00028352
48,15167,0.54279,3.38924,1.27323,0.90757,0.91195,0.94539,0.63558,0.55702,3.53758,1.31181,0.000275792,0.000275792,0.000275792
49,15518.1,0.54038,3.37472,1.27273,0.91926,0.90445,0.94506,0.63434,0.55821,3.55497,1.30958,0.000268041,0.000268041,0.000268041
50,15830.6,0.53945,3.34011,1.27416,0.91995,0.90853,0.94649,0.63497,0.55659,3.50126,1.30606,0.000260274,0.000260274,0.000260274
51,16134.8,0.53313,3.28825,1.26148,0.92131,0.90819,0.94819,0.63626,0.55698,3.5187,1.3105,0.0002525,0.0002525,0.0002525
52,16445.4,0.52751,3.21931,1.25774,0.90632,0.91574,0.94801,0.63729,0.55835,3.54776,1.31143,0.000244726,0.000244726,0.000244726
53,16753.9,0.52919,3.2002,1.26159,0.911,0.9185,0.9469,0.64043,0.55849,3.58475,1.31491,0.000236959,0.000236959,0.000236959
54,17057.7,0.52558,3.18907,1.24751,0.92682,0.91191,0.94577,0.63965,0.55835,3.52107,1.31225,0.000229208,0.000229208,0.000229208
55,17371.3,0.5262,3.18614,1.26488,0.92187,0.90953,0.94858,0.64072,0.55689,3.46985,1.31038,0.00022148,0.00022148,0.00022148
56,17684.5,0.52254,3.12558,1.25593,0.92358,0.90947,0.94776,0.6422,0.55474,3.46568,1.30876,0.000213782,0.000213782,0.000213782
